timestamp,source_page,text_snippet,label,prob_real,prob_fake,sentiment
2025-12-09 08:59:37,single_text,"Tone Deaf Trump: Congrats Rep. Scalise On Losing Weight After You Almost Died Donald Trump just signed the GOP tax scam into law. Of course, that meant that he invited all of his",Fake,1.5837343880775734e-06,0.9999984502792358,-0.9566982984542848
2025-12-09 09:01:20,single_text,"Man says he delivered manure to Mnuchin to protest new U.S. tax law (In Dec. 25 story, in second paragraph, corrects name of Strong’s employer to Mental Health Departm.",Real,0.9999984502792358,1.6086638652268448e-06,-0.979856550693512
2025-12-09 09:03:05,single_text,U.S. lawmakers question businessman at 2016 Trump Tower meeting: sources WASHINGTON (Reuters) - A Georgian-American businessman who met then-Miss Universe pageant owner Dona,Real,0.9999984502792358,1.5966567161740386e-06,-0.849214494228363
2025-12-09 11:04:26,single_text,OOPS: Trump Judicial Nominee Didn’t Tell Congress About Marriage To White House Attorney This is a major conflict of interest that should automatically disqualify him.When the Senate Judici...,Fake,1.5946479834383354e-06,0.9999984502792358,-0.997861921787262
2025-12-09 11:06:30,single_text,"Sunday’s Massacre In Texas Bumped Columbine Out Of The Top Ten Deadliest US Mass Shootings It s been more than 18 years, but anyone who was alive at the time will remember when they first hea...",Fake,1.5575951692881065e-06,0.9999984502792358,-0.8647334575653076
2025-12-09 11:11:04,Text Analysis,"Maine Voters Tell Trump To Go F*ck Himself, Expand Medicaid Through Obamacare Republicans should be downright afraid to try killing Obamacare ever again.As we all know, Donald Tr...",Fake,1.5509723425566335e-06,0.9999984502792358,-0.9739333987236024
2025-12-11 17:29:24,Text Analysis,"Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbing Donald Trump just couldn t wish all Americans a Happy New Year and leave it at that. Instead, he had",Fake,1.581661990712746e-06,0.9999984502792358,-0.99909508228302
2025-12-12 13:43:12,Text Analysis,"Papa John’s Founder Retires, Figures Out Racism Is Bad For Business A centerpiece of Donald Trump s campaign, and now his presidency, has been his white supremacist way...",Fake,1.6090597227957917e-06,0.9999984502792358,-0.9991158843040466
2025-12-12 14:05:36,Text Analysis,"Papa John’s Founder Retires, Figures Out Racism Is Bad For Business A centerpiece of Donald Trump s campaign, and now his presidency, has been his white supremacist way...",Fake,1.6090597227957917e-06,0.9999984502792358,-0.9991158843040466
2025-12-12 14:17:18,Text Analysis,"Papa John’s Founder Retires, Figures Out Racism Is Bad For Business A centerpiece of Donald Trump s campaign, and now his presidency, has been his white supremacist way...",Fake,1.6090597227957917e-06,0.9999984502792358,-0.9991158843040466
2025-12-12 14:37:36,Text Analysis,"Papa John’s Founder Retires, Figures Out Racism Is Bad For Business A centerpiece of Donald Trump s campaign, and now his presidency, has been his white supremacist way...",Fake,1.6090597227957917e-06,0.9999984502792358,-0.9991158843040466
2025-12-12 14:45:49,Text Analysis,"Papa John’s Founder Retires, Figures Out Racism Is Bad For Business A centerpiece of Donald Trump s campaign, and now his presidency, has been his white supremacist way...",Fake,1.6090597227957917e-06,0.9999984502792358,-0.9991158843040466
2025-12-12 14:51:54,Text Analysis,"Papa John’s Founder Retires, Figures Out Racism Is Bad For Business A centerpiece of Donald Trump s campaign, and now his presidency, has been his white supremacist way...",Fake,1.6090597227957917e-06,0.9999984502792358,-0.9991158843040466
2025-12-12 15:04:06,Text Analysis,"In A Heartless Rebuke To Victims, Trump Invites NRA To Xmas Party On Sandy Hook Anniversary. It almost seems like Donald Trump is trolling America at this point. In the beginning, when he tried...",Fake,1.5755859976707145e-06,0.9999984502792358,-0.9923445582389832
2025-12-14 02:54:23,Text Analysis,"Papa John’s Founder Retires, Figures Out Racism Is Bad For Business A centerpiece of Donald Trump s campaign, and now his presidency, has been his white supremacist way...",Fake,1.6090597227957915e-06,0.9999984502792358,-0.9991158843040466
